propertyId,postalCode,typeOfProperty,subtypeOfProperty,price,typeOfSale,numberOfRooms,livingArea,equippedKitchen,furnished,openFire,garden,surfaceOfGood,numberOfFacades,swimmingPool,stateOfBuilding,terraceSurface,hasBasement,hasDisabledAccess,hasLift,livingRoomSurface,electricalInstallationCertificate,gScore,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,hasDoubleGlazing,epcScore,primaryEnergyConsumptionPerSqm,renovationObligation,cadastralIncome,parkingCountIndoor,parkingCountOutdoor
20407104,7608,0,14,219000,0,4,184.0,3,0,0,-1,1082.0,4,0,1,0,-1,0,0,0,1,-1,2,1,1,0,-1,5,405,-1,603,3,2
20407113,8670,1,1,795000,0,6,170.0,1,0,0,0,170.0,2,0,2,36,-1,0,1,0,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0
20407139,2020,1,1,295000,0,2,82.0,-1,0,0,0,82.0,-1,0,1,5,1,0,1,35,1,-1,0,0,0,0,1,1,-1,0,900,0,0
20407162,1160,1,18,245000,0,3,71.0,3,0,0,0,71.0,-1,0,2,0,-1,0,1,0,1,-1,0,0,0,0,1,5,-1,-1,1197,0,0
20407165,8430,1,1,249000,0,4,82.0,1,0,0,0,82.0,-1,0,0,0,1,-1,1,0,-1,-1,3,-1,-1,-1,1,2,189,0,899,0,0
20407178,4690,0,0,175000,0,4,58.0,-1,0,0,-1,40.0,2,0,2,11,-1,0,0,20,1,-1,-1,1,-1,-1,1,2,155,-1,151,0,0
20407182,7130,0,0,320000,0,7,156.0,3,0,0,220,285.0,3,0,2,20,-1,0,0,0,1,-1,-1,1,1,-1,-1,0,7,-1,-1,0,0
20407184,2560,0,0,308000,0,6,150.0,1,0,0,-1,212.0,4,0,0,48,1,0,0,36,1,0,0,-1,-1,-1,1,5,490,1,-1,0,2
20407212,7080,1,19,235000,0,8,160.0,3,0,0,0,160.0,3,0,4,0,-1,0,0,40,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,0
20407263,7603,0,0,675000,0,12,543.0,3,0,0,3917,3917.0,4,0,2,0,1,0,0,0,-1,-1,1,-1,-1,-1,1,3,248,-1,-1,1,6
20407277,2950,1,1,328000,0,6,95.0,1,0,0,0,95.0,-1,0,1,15,-1,-1,1,27,1,0,0,-1,-1,-1,-1,2,107,0,-1,1,0
20407314,3390,0,0,275000,0,3,0.0,-1,0,0,-1,-1.0,-1,0,-1,0,-1,0,0,0,1,-1,1,0,-1,-1,-1,6,733,-1,661,0,0
20407380,1330,0,0,449000,0,5,200.0,-1,0,0,869,869.0,4,0,-1,30,1,0,0,0,-1,-1,1,-1,-1,-1,1,4,330,-1,2481,1,1
20407382,4040,1,1,115000,0,6,84.0,2,0,0,0,84.0,2,0,0,0,1,0,1,29,0,-1,1,-1,-1,-1,1,2,156,-1,865,0,0
20407387,6840,1,1,179000,0,6,108.0,0,0,0,50,108.0,-1,0,1,8,-1,1,1,41,1,-1,3,-1,-1,-1,1,5,353,-1,914,0,0
