id,subtype,bedroomCount,postCode,habitableSurface,hasDressingRoom,buildingCondition,buildingConstructionYear,facedeCount,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenType,landSurface,parkingCountOutdoor,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,terraceSurface,price,epc_kwh
20639908,347187,3,3115,116,0,266634,1980,2,0,0,0,336419,396,1,0,1,0,0,15,265000,500
20119176,347187,3,3115,128,0,337048,1908,3,0,0,0,422399,145,0,1,2,0,0,0,248000,225
20658339,309460,2,3115,67,0,337048,2004,3,0,0,0,422399,0,0,0,1,0,0,0,215000,225
20584511,347187,3,3115,230,0,395196,2018,2,0,0,0,336419,142,0,1,3,0,0,26,489000,150
20532988,309460,2,3115,71,0,337048,1980,2,0,0,0,336419,0,0,0,1,0,0,0,230000,75
10780897,466707,2,3115,82,0,337048,2019,2,0,0,0,336419,0,0,0,1,0,0,48,348813,75
20489809,347187,5,3115,256,0,279630,1973,3,0,0,0,336419,170,0,0,3,0,0,0,339000,500
20608491,525692,4,3115,301,0,395196,1957,4,0,1,0,336419,625,1,0,2,0,0,0,549000,225
20627574,347187,2,3115,106,0,266634,1980,3,0,0,0,336419,216,0,0,1,0,0,0,199000,500
20598778,306182,2,3115,63,0,395196,2002,2,0,0,0,336419,0,1,0,1,0,0,0,199000,300
20474996,466707,2,3115,80,0,395196,2005,3,0,0,0,336419,0,0,0,1,0,0,40,229000,300
20560149,309460,2,3115,95,0,395196,1970,2,0,0,0,336419,0,0,0,1,0,0,0,259000,150
20461492,347187,3,3115,136,0,337048,1932,2,0,0,0,336419,134,0,0,2,0,0,0,288000,300
20402870,466707,2,3115,80,0,395196,2005,3,0,0,0,336419,0,0,0,1,0,0,40,229000,300
20494528,347187,3,3115,247,0,395196,1969,2,0,0,0,266731,255,0,0,2,0,0,17,409000,300
20365559,309460,2,3115,87,0,395196,2008,3,0,0,0,422399,0,0,0,2,0,0,5,374000,75
20330910,309460,2,3115,87,0,395196,2008,3,0,0,0,336419,0,0,0,2,0,0,5,399000,75
11424735,309460,1,3115,51,0,395196,2013,3,0,0,0,336419,0,0,0,1,0,0,0,239000,150
20558381,309460,1,3115,65,0,347917,1965,3,0,0,0,336419,0,0,0,1,0,0,0,255000,150
20515024,309460,1,3115,51,0,337048,2009,3,0,0,0,422399,0,0,0,2,0,0,0,185000,75
20320751,309460,2,3115,77,0,337048,1980,2,0,0,0,336419,0,0,0,1,0,0,0,285000,150
20655270,347187,3,3115,156,0,337048,2017,3,0,0,0,336419,160,0,0,2,0,0,0,379000,150
20622082,309460,2,3115,84,0,337048,1997,3,0,0,0,336419,0,0,0,1,0,0,3,298000,225
20341995,309460,2,3115,80,0,337048,2012,3,0,0,0,336419,0,0,0,1,0,0,18,330000,75
